 âšœï¸Andreas Von Lindemannâšœï¸,2023-01-14T11:09:43Z,Lanzarote es amazing,0
Dominic Payne,2022-11-08T20:23:31Z,Is this the same guy who did the M&S campaign. ğŸ«£,0
Matrix,2022-09-21T17:43:11Z,Just makes you want to ride. I love Rapha films for this and their beauty.,0
Johnny Jensen,2022-09-10T17:44:05Z,they sound as they are going on a Mars inspectionğŸ¤¢,1
Benjamin,2022-04-28T14:54:54Z,"Woohoo cycling is cool and all and we all love cycling, but you know what is also cool. If the owners of this company (heirs to Walmart some of the richest people in the world) raise the wages of Walmart workers.",2
Rad Running,2022-04-10T23:50:59Z,Brilliant video ğŸ¤©,0
Alsanosi Ahmed,2022-04-09T09:27:56Z,Great video to watch before a ride.,2
Johnny Russell,2022-04-08T17:04:05Z,Nice to see Ed on the firm!,0
sandro rovatti,2022-04-08T16:42:53Z,Rapha the best,0
EmberAEG,2022-04-08T12:20:58Z,Man I want to start riding again,1
Lewis Baker,2022-04-08T11:46:00Z,Usual pretentious crap.,5
Ryan ,2022-04-08T01:15:05Z,open a Toronto store,1
Julian A.,2022-04-07T18:27:44Z,Rubbish and useless bla bla bla. As if they really knew what they're talking about ğŸ˜‚ğŸ˜‚.,4
Diana Krebs,2022-04-07T16:23:34Z,"Rapha, you did it again!",9
Bigbill Mckinley,2022-04-07T14:00:20Z,Lovely film ruined by words and subtitles stuck all over it. If I was the director or DP I'd be horrified.,7
