Default Name,2023-01-05T06:37:54Z,goosebumps ğŸšµğŸ½ğŸšµğŸ¼ğŸšµğŸ¼â€â™‚ï¸ğŸšµğŸ¾â€â™‚ï¸ğŸšµğŸ¼,0
Avi,2015-08-09T05:48:34Z,by far the best video!,2
Allez Rouleur,2014-08-15T11:02:34Z,"A musette, a route card and the best of luck. The rest is up to you; the training, the day's food and water, and finding your way back if you happen to stray off course. Welcome to the RaphaÂ A pair of $200 mitts, a $300 jersey, $50 socks...and the rest is up to you.",4
sirarrgh,2013-04-28T19:49:29Z,it might be called fly on though,0
sirarrgh,2013-04-28T19:48:53Z,"Don't take my word for it, but I think it's 'forever is better with you' by humming house ",0
roborovski008,2013-04-27T13:59:04Z,race like a sir,0
BigBlackPug,2013-04-27T07:24:22Z,Again - WONDERFUL! I'm away for a ride.,0
Gianni Ottone,2013-04-27T03:03:15Z,Ugh this videos so good!,0
simon jagassar,2013-04-26T21:07:06Z,great vid once again !,0
livibam,2013-04-26T16:30:05Z,looks like a good day out :),0
