Rudy Elizondo,2023-01-12T04:51:31Z,Awesome!!,0
Blog Pedalare verso il cielo,2022-12-18T14:23:37Z,Sento nostalgia dei vecchi rapha film !,0
Gravel Pack,2022-09-04T01:10:12Z,Great stuff guys love the story and the story telling,0
Wally,2022-09-02T07:19:55Z,Please do more Legion films. That was awesome,1
clowe gallery,2022-08-06T07:31:09Z,inspiring,0
dhc2345,2022-08-01T03:07:19Z,Excellent! Congrats to all involved in the film!,0
Matthew O. Sloan,2022-07-31T11:15:36Z,This is great! Loved it! Jai Legion!,0
TheOskarOVJ,2022-07-22T08:22:07Z,"Great vid! As a scandinavian it feels so weird to me, how much they are all smiling constantly. Major cultural difference for sure",0
Pete,2022-07-21T08:33:38Z,"I love what these guys are doing, I think if I'd seen people like them cycling in races when I was younger i'd have got involved in crit racing.",0
Marvin C,2022-07-21T03:27:17Z,Awesome!!!!,0
Terry Hudson,2022-07-20T17:42:24Z,"Some don't stop until they are world champions. Then there are a few people like Justin, who won't stop changing the world for the better, ever. He's a true hero of cycling ğŸ™ŒğŸ»",0
md,2022-07-19T22:23:53Z,This!,0
Shammer Diaz,2022-07-19T19:13:46Z,Gorgeous portrait. Inspired. Mission accomplished. ğŸ™ŒğŸ½,0
Helmi Wijaya,2022-07-19T15:32:52Z,no one talking about the fight?,4
Lawrence Yeung,2022-07-19T14:01:18Z,They are fighters on and off the race!!!,9
Daniel Nelson-Smith,2022-07-19T06:44:02Z,Inspiring film! Absolute legends in the game,3
Brian Gregorio,2022-07-19T05:56:12Z,"Legitimately the some best faces in cycling right now. Whenever people ask about who they should be watching if they want to be inspired for getting into cycling, the faces of L39ION straight represent culture and cycling for me. They are out there to have fun and dominate! Love seeing representation for woman as well, they are making the difference in cycling and I love where this is all going. You all are inspire me so much! Your enemies watch your every move, live in their heads rent free, because you all are handling this best you can. Keeping your cool and standing up for each other.",4
Eddie Tabullo,2022-07-19T05:52:19Z,God Speed. You deserve every bit of success. I got your back!,2
Arogya Kharel,2022-07-19T04:24:15Z,Oh shit thats Morgan's family! William Osman's friend!,1
rockymanbro,2022-07-19T04:02:30Z,These guys are world class.  I love what they are doing for cycling.  They are also brilliant on the bikes.  No one communicates like they do in a race. They understand race tactics so well.,4
Vinh Le,2022-07-19T03:41:01Z,Thatâ€™s rad. More power to them!,5
Patrick Lino,2022-07-19T03:29:52Z,"The barrage of false narratives and character attacks against Legion proves how important they are to American cycling, and just how wildly successful they have become. Don't like their race tactics? Understood. Their Hollywood/urban approach to cycling isn't for you? No problem. However both race promotors and teams, respectively, should be writing Legion a huge thank you letter. Legion's brand and culture has brought new audiences to the sport, and that same awareness has trickled down to Legion's competitors.",32
Jason,2022-07-19T02:51:14Z,Bad timing eh,2
Mira Conyo,2022-07-19T01:25:29Z,"F the haters, Big ups l39gion ğŸ”¥",7
Ernest Wade,2022-07-19T00:20:34Z,Haha I noticed the cheeky opening shot ğŸ˜‚,1
PattyChevs,2022-07-19T00:16:52Z,the williams brothers are so sick,6
Photogough,2022-07-19T00:16:08Z,"This is BEAUTIFUL. It's like film but it's digital crisp at the same time, the colors pop, the story is inspirational, charming, determined. Bravo Rapha, and hats off to Justin and the whole Legion family for what they're creating.",29
Pablo De La Hoya,2022-07-18T23:59:03Z,great job telling this story - now let's go ride! See ya'll at Manhattan Beach,7
ì†ë™í˜„,2022-07-18T22:16:20Z,ì ë¼ë°© í™”ì´íŒ…!!!,0
brian murphy,2022-07-18T22:14:21Z,What the williams Brothers have achieved and are doing for their riders is top notch.,24
allhemp,2022-07-18T21:48:40Z,ĞœĞ½Ğµ Ğ½Ñ€Ğ°Ğ²Ğ¸Ñ‚ÑÑ ğŸ¥° ğŸš´â€â™€ï¸ğŸ¥°ğŸ¥°ğŸ‘ğŸ»,0
stephen5shaw,2022-07-18T21:22:14Z,still dying to see these dudes get slapped around by some european amateurs,13
Ligma,2022-07-18T21:04:30Z,"Bad ass Justin, making big moves.",7
Chi_The_Process,2022-07-18T20:40:16Z,So many trolls in the comment section.  People are jealous of their success. People want to see them failed. A black owner racing team is taking on a white dominated sport.,15
Pedals and Motors,2022-07-18T20:35:00Z,Where is the post credit fist fight?!,14
Wilhelm BuchmÃ¼ller,2022-07-18T19:45:07Z,Hey rapha are you going to be selling boxing gear anytime soon ?,28
Leven,2022-07-18T19:31:01Z,"Its shitty that rapha spends money sponsoring these guys when they're a determent to the sport. The latest fighting incident at SLC, not giving prize money from Lions Den and year after year causing issues with other riders. If everywhere you go something stinks maybe its this toxic team. They'll keep up this awful behavior as long as their sponsors back them.",30
Damian Lawrence,2022-07-18T19:30:25Z,This is so KOOL!!!,5
Kyle Joy,2022-07-18T19:27:36Z,I was expecting a boxing match in this film.... 4/10,19
pakelly99,2022-07-18T19:24:26Z,"Excellent film, hits one at an emotional level, beautifully photographed and advancing causes of substance. Genuinely inspirational.",16
PatDMann,2022-07-18T19:21:06Z,Great edit.,8
Gaspar Gallegos,2022-07-18T12:20:15Z,Letâ€™s goooo ğŸ”¥,7
