Lewis Baker,2022-01-31T21:56:09Z,Mollycoddled all the way - poor things. Suffering in their Rapha kit. And not a woman in sight. What an awful image of cycling it conveys.,0
MTB ManaliÂ® by Vikas Aanand,2020-12-09T11:49:56Z,At 0:54 he throws his water bottle towards bushes. Which make me uncomfortable. I dont like the way he did this. ğŸ¤¨,1
eric moss,2016-09-14T02:50:49Z,"Every Rapha video has someone fixing a flat, even on beautiful roads.  Who selects the tires? ;)",10
kevina6587,2016-06-15T18:50:45Z,what a load of bollox.,1
J. Yip,2016-04-02T04:30:56Z,this gives actual brevet cycling a bad name.,6
Andrea G Zucchini,2015-11-16T14:29:49Z,I don't like see water bottle lauched at 0:54,2
George Gilles,2015-05-28T13:28:49Z,Awesome video guys.,1
Ming Lau,2015-01-04T06:20:40Z,Anyone know what bike that is at the 0:14 mark? Â ,0
Le Mimsey,2014-12-04T07:50:42Z,Thats not the real Randonneur spirit.. Supportcar pfff ! :DÂ ,16
James A,2014-12-01T21:52:19Z,Some day...,2
Pelao FernÃ¡ndez,2014-12-01T21:09:38Z,Beautiful! ğŸ‘ ,1
