shaun89759,2022-05-04T11:23:48Z,GusðŸ¤˜,0
Adrian Wenger,2022-01-15T07:23:34Z,I guess there will never be a full film of this trip..? :CLove those films so much,1
Nikola Bulatovic,2021-11-02T10:40:54Z,:'),0
Jake S,2021-10-19T03:09:24Z,this still hasn't been released???,0
Kwon,2021-10-12T12:18:43Z,For all the ppl who are still expecting and waiting to have the full video of this.  I got the direct message from lachlan Morton through Instagram that unfortunately there is no full video of this.  That's why Rapha still in the cave without any official responses.  That's too bad that can't enjoy their full-cycle adventure from Ha to Ho. :-(,2
Larry Fisherman,2021-09-14T20:04:32Z,WHEN IS THIS DROPPING ??!,0
myles mills,2021-09-02T05:59:36Z,Is this out somewhere?,0
Talos353,2021-03-31T19:53:23Z,When??,1
Emily Robin Sauer,2020-10-10T04:38:27Z,Where is the full film?,0
lee garrett,2020-04-26T16:15:28Z,When is this going to be released?,0
DopeDo,2020-04-16T01:28:01Z,WHERES THE REST?!,1
Chris Elkin,2019-11-10T21:10:35Z,When?,0
Woozer73,2019-11-09T03:32:46Z,Why didn't you tell me you were here? Eh? I would of bought you all a Ca Phe sua da when you got to Ho chi Minh ;),0
yamaha893,2019-09-24T03:47:07Z,track id?,0
Phil Anderson,2019-09-18T05:10:08Z,"As a video/film marketing professional I love these short films. So well done. Not sure how much of the production was from ""on staff"" at Rapha, and how much was contracted out, but would love to see some credits for who is doing this fine work. Very modern.",2
VaeVictisVII,2019-09-13T14:42:13Z,1:36 I really hope that's not sweat >_<,0
VaeVictisVII,2019-09-13T14:39:30Z,Any idea when the full episode will be released? Really enjoy the adventure films with Lachy,23
Dan Holford,2019-09-12T18:48:30Z,So when does the full film go live?!,1
Pyroisafag,2019-09-12T13:47:12Z,"Damn, Lachlan is living the life",0
Stefano Mancini,2019-09-11T23:37:24Z,Wow great video,0
JoÃ£o LourenÃ§o,2019-09-11T20:56:23Z,Beautifull!!!!!!,0
Morningtide,2019-09-11T14:39:59Z,Wringing out the shirt--does that mean they don't breathe well?,0
1777DK,2019-09-11T12:50:29Z,Is there a full length film coming?,1
okantichrist,2019-09-08T20:10:29Z,Rapha t shirt ride cool ðŸ˜ŽðŸ˜‚,0
Nick Jackson,2019-09-08T11:35:08Z,"Love this series, canâ€™t wait to see the full doc",1
JosepRA28,2019-09-08T01:27:40Z,BrutalðŸ‘ŒðŸ¼ðŸ’ªðŸ¼,0
Stanislav Lazarev,2019-09-07T12:33:23Z,Was that a new Rapha bike transportation bag that guys were using?,12
Thicks,2019-09-07T09:23:20Z,Whomever does the Audio for Rapha has been on a roll.,26
Steph Laba,2019-09-07T08:55:26Z,Yessss. Keep this fresh content coming.,1
Adam Griss,2019-09-07T05:15:17Z,I love the feel of the video! It reminds me of  the Bones Brigade skate videos on VHS that I used to watch in the early 90s.,2
Frank Kottwitz,2019-09-07T00:28:08Z,Love the Mortonâ€™s when get out there going to remote places,4
Alan Hill,2019-09-07T00:13:40Z,Lachlan Morton what a legend !,18
Dwayne Pedals ,2019-09-06T23:08:53Z,This was so dope. Loved how you guys just used regular bags for your bike packing and nothing fancy. Kinda grunge.,4
Renaud Faucher,2019-09-06T22:13:11Z,Love the 90s skateboarding video aesthetic!,3
Dave B,2019-09-06T21:57:42Z,Woah yeah loving this. Rode motorbikes from Hanoi to HCMC back in 2011 with a group of mates.Doing it with pedals would be another level again.,0
Michael Hitchcock,2019-09-06T21:46:14Z,"Not bad what cycling has done for 2 kids from Port Mac......... The road racing up there is brutal, you can see why they have had successful riders from the region (Lauren Kitchen kicks arse)",1
Robin Owen,2019-09-06T20:29:38Z,Not a single dislike.....superb,0
Courtney Bond,2019-09-06T20:29:18Z,Outskirts is quickly becoming the Top Gear of bikes.,18
Marek JA,2019-09-06T20:12:50Z,This one is going to be bomb!,0
Fergus Mccaffery,2019-09-06T20:04:54Z,tune!            love your content. what is it?,0
jan fun,2019-09-06T19:47:47Z,Music?,1
Yaroslav Panasiuk,2019-09-06T18:22:16Z,Ð¾Ñ†Ðµ Ð³Ð¾Ð´Ð½Ð¾Ñ‚Ð°!Ð´ÑÐºÑƒÑŽ,0
Andrew G,2019-09-06T18:17:19Z,"Omg, just leaving hcmc tonight... next time Iâ€™m back this might need to be a bike trip :)",2
Jun Peng,2019-09-06T18:06:02Z,Beautifully done in Super8 format too,0
Steve Jennings,2019-09-06T18:01:42Z,"as always, outstanding content.",1
kungpaochikn122,2019-09-06T17:18:59Z,FIRE VIDEO!!!!!!!!! FUEGOOOO,0
thetalkingfly,2019-09-06T17:17:42Z,"Fudge that looks good! Cheers, Steve aka The Talking Fly",0
plainbagel,2019-09-06T17:13:54Z,Omg I thought it said â€œRapha Miniskirt Collectionâ€ ðŸ˜‚,2
ydnar,2019-09-06T17:01:50Z,I am looking forward to a full episode on this one. Looks fantastic!,59
BF,2019-09-06T16:56:53Z,First,0
