Tom Singer,2021-08-18T03:40:05Z,Itâ€™s hard to see someone living your dream. This video is awesome.,0
John Griffith,2021-03-11T15:44:55Z,call me next time you go,0
Scott Bert,2021-03-01T10:24:43Z,That's totally the way biking should be.,0
Joe Simpson,2021-02-28T07:36:27Z,The vests and jerseys blowing in the wind with the zipper down is just pure wank and hipster,0
Swollen Knuckle,2021-01-09T03:54:54Z,Makes it look sooo good. They donâ€™t show all the traffic around Aspen.,0
Petra Krissetianto,2020-10-24T15:25:41Z,What mood music?,0
Ariestocrata Studio,2020-02-28T14:02:52Z,I hope they used Strava to record this epic ride.,0
- DAVIS CREATIONS -,2020-01-19T04:44:59Z,ğŸ‘ğŸ˜ğŸ‘,0
batesarch,2019-07-16T12:24:53Z,Lovely cinematography. Really makes me want to get out on the bike more....,1
Patrick M,2019-05-18T09:55:23Z,Watching this at 5:45am right before a Saturday morning sunrise ride :),0
Mateo Klepper,2019-05-06T04:35:26Z,Video Ad,0
é¾å‰è¼,2019-04-27T05:38:51Z,which series they wearing in this film?,0
Martin Gaurano,2019-04-02T01:19:57Z,What's the width of the tires shown in this video? BTW I enjoy watching your short films,0
EdwinNewcomb,2019-02-10T21:02:42Z,Great bass playing,0
Brandon Wagner,2019-02-01T23:10:42Z,fuck desk jobs... this video is making it so hard to work a desk job in this grey NW winter,1
bengt_axle,2019-01-30T03:50:27Z,Steel bikes are sexy...and so is Sami.,1
PaulJacksonOttawa,2019-01-27T18:48:17Z,Great stuff here Rapha.  Thank you again for sharing.  Outstanding.,0
ashbro,2019-01-26T14:34:30Z,Be-a-u-ti-ful-!,0
weera warakul,2019-01-25T05:30:20Z,Beautiful,0
Urby 1,2019-01-24T01:35:55Z,AWESOME,0
MarMaxCycling,2019-01-23T08:58:08Z,COOL !,0
Gonbei Danbei,2019-01-21T09:51:00Z,I'm curious why  a lot of people who wear Rapha including guys in the video leave their jersey (vest?) unzipped? I'm in Japan and Rapha riders here are very recognizable for their wind flapping jersey.,1
OFF COURSE IS OF COURSE - traveling the world,2019-01-20T20:18:27Z,AWESOME FILM!,0
DJ Lauf,2019-01-20T04:01:06Z,"awesome, makes me want to ride like right now!  Too bad itâ€™s dark and rainy out here ğŸ˜©",2
Christian Donaj,2019-01-19T21:11:33Z,Awesome scenery,0
Dave,2019-01-19T19:21:22Z,"Watch... With bated breath, Like leaves on a winter day, Rapha clothing flapping in the wind,And snacks.",0
MegaBoyd,2019-01-19T18:43:33Z,I love Colorado,0
Just the Pip,2019-01-19T15:40:32Z,Gorgeous.,1
xgalvan1,2019-01-19T12:06:23Z,"Any video with Gus and/or Lachlan is diamonds.  EF and Rapha were smart to pic these boys up.  I think capturing the story behind the riders makes watching the races more appealing and is a winning formula for Rapha this year.  Itâ€™s more than just supplying kits this year, I feel we are going to get some great stories from the peloton.  Looking forward to more Rapha!",7
jay collins,2019-01-19T11:10:49Z,About time rapha made another great video ğŸ˜ŠğŸ¤˜,0
breathestrongcycling,2019-01-19T00:26:30Z,Now I just need to figure out how to spend a couple of months in Colorado ğŸ¤”,8
Alan Anderson,2019-01-18T23:37:38Z,Nice film. Wish I was there.,1
Mohamad Iskandarani,2019-01-18T22:57:41Z,so outskirts colorado coming soon,1
drewmartinezart,2019-01-18T21:38:10Z,What's with the helmets?,2
John Thomas,2019-01-18T20:47:43Z,Gotta winter storm coming ...soaking up every minute of this wonderful video.,3
Medium Rick,2019-01-18T19:19:06Z,Better when Gus doesn't talk.  haha.,6
C345 OFR,2019-01-18T17:26:02Z,"*Heads-up!* The GPX file for Independence Pass is the same as for Flagstaff Road - any chance you could fix the link, Rapha?",1
C345 OFR,2019-01-18T17:18:28Z,Loving the addition of the GPX files at the end of the article. So many bloggers/writers tell you about their fantastic journeys and then fail to give you the opportunity to see for yourself.Kudos Rapha!,18
David Carthy,2019-01-18T17:14:44Z,"Finally, the real Rapha videos are back!",0
Ali A,2019-01-18T16:25:18Z,can we have the name of the producers? love to know about the process,3
NonchalantGarage,2019-01-18T16:23:07Z,This is unreal.,1
CycoWarriorx,2019-01-18T16:08:18Z,ğŸ‘ğŸ½ğŸ‘ğŸ½ğŸ‘ğŸ½ğŸ‘ğŸ½,0
Costas Mandylor,2019-01-18T16:04:12Z,Woohoo!! Can't wait for the full movie!!! Yay!!,0
galen1973,2019-01-18T15:58:56Z,Member when you rode bikes without cameras and a film crew?  Me neither.,0
Timothy Topor,2019-01-18T15:49:44Z,nice edit,1
brianmcg321,2019-01-18T15:42:40Z,Yay.,0
Super Flex,2019-01-18T15:20:31Z,"Boring. No human dialog. What are they doing, why, when, how? No substance",4
PowalinxTV,2019-01-18T14:35:54Z,"Gorgeous ridin, need to make it out to Colorado.",1
fcz,2019-01-18T14:29:56Z,I wanna live in Rapha world!!!!!,23
kholid wakhid,2019-01-18T14:21:36Z,hope sami's knee would be better in this video,28
AntÃ³n Sola,2019-01-18T14:09:08Z,COOL...!!!!,1
