Sam Reddy,2020-05-06T23:38:40Z,Does anyone know if these EF x Rapha blue zip hoodies are for sale?,0
S G,2020-04-16T04:03:24Z,Incredible. These need to be an hrs length.... Chapeau.,5
Jeff W,2020-01-14T07:24:19Z,Watch out for that Mollema this 2020 telling you there is another round to go!!!!,0
Florian Land,2019-04-12T15:01:25Z,awesome video and totally love this series!! big thumbs up ðŸ‘ŒðŸ˜ƒ,0
unterwegsvideos,2019-04-07T18:05:06Z,Nice Musik and great cuts.. good work,0
Fer Alm,2019-03-31T16:46:13Z,Subtitles only for italian guys that speak...so clearly!!! ðŸ˜‰,0
Pauli,2019-03-31T07:24:30Z,"Spoiler alert - very little actual race footage. To give you an idea, the pre and post race interviews fills over 90% of the clip......",0
Ron Harper,2019-03-26T14:06:06Z,Better than Back Stage Pass. Tame the Wolfpack!,2
Mofat Greasmo,2019-03-26T12:18:24Z,Good stuff. Thanks!,0
Steve Martin,2019-03-26T02:05:42Z,Loving this series.  Keep up the awesome work.,10
Michele Cocciardo,2019-03-25T19:20:34Z,Subtitles under Italian riders have destroyed me ðŸ¤£ðŸ¤£ðŸ¤£,10
Juan RodrÃ­guez,2019-03-25T18:57:47Z,Nice song,0
